original_id,new_id,name
0,0,(R)-warfarin
1,1,(S)-Warfarin
2,2,Abacavir
3,3,Abaloparatide
4,4,Abciximab
5,5,Abemaciclib
6,6,Abiraterone
7,7,Abrocitinib
8,8,Acalabrutinib
9,9,Acamprosate
10,10,Acarbose
11,11,Acebutolol
12,12,Aceclofenac
13,13,Acenocoumarol
14,14,Acepromazine
15,15,Acetaminophen
16,16,Acetazolamide
17,17,Acetohexamide
18,18,Acetohydroxamic acid
19,19,Acetylsalicylic acid
20,20,Acitretin
21,21,Activated charcoal
22,22,Acyclovir
23,23,Adagrasib
24,24,Adefovir dipivoxil
25,25,Adenosine
26,26,Afatinib
27,27,Albendazole
28,28,Alcloxa
29,29,Alectinib
30,30,Alendronic acid
31,31,Alfacalcidol
32,32,Alfuzosin
33,33,Alimemazine
34,34,Aliskiren
35,35,Alitretinoin
36,36,Allopurinol
37,37,Almasilate
38,38,Almotriptan
39,39,Alogliptin
40,40,Alosetron
41,41,Alpelisib
42,42,Alprazolam
43,43,Alteplase
44,44,Altretamine
45,45,Aluminum hydroxide
46,46,Alvimopan
47,47,Amantadine
48,48,Amediplase
49,49,Amifampridine
50,50,Amiloride
51,51,Amineptine
52,52,Aminocaproic acid
53,53,Aminoglutethimide
54,54,Aminophylline
55,55,Aminosalicylic acid
56,56,Amiodarone
57,57,Amisulpride
58,58,Amitriptyline
59,59,Amlodipine
60,60,Amobarbital
61,61,Amoxapine
62,62,Amoxicillin
63,63,Amphetamine
64,64,Ampicillin
65,65,Amprenavir
66,66,Amyl Nitrite
67,67,Anagrelide
68,68,Anastrozole
69,69,Ancrod
70,70,Anethole trithione
71,71,Anileridine
72,72,Anistreplase
73,73,Antipyrine
74,74,Antithrombin Alfa
75,75,Antithrombin III human
76,76,Apalutamide
77,77,Apixaban
78,78,Apomorphine
79,79,Apremilast
80,80,Aprepitant
81,81,Aprocitentan
82,82,Ardeparin
83,83,Argatroban
84,84,Arimoclomol
85,85,Aripiprazole
86,86,Armodafinil
87,87,Artemether
88,88,Asciminib
89,89,Ascorbic acid
90,90,Asenapine
91,91,Astemizole
92,92,Asunaprevir
93,93,Atazanavir
94,94,Atogepant
95,95,Atomoxetine
96,96,Atorvastatin
97,97,Atovaquone
98,98,Atropine
99,99,Attapulgite
100,100,Auranofin
101,101,Avacopan
102,102,Avanafil
103,103,Avapritinib
104,104,Avatrombopag
105,105,Avelumab
106,106,Axitinib
107,107,Azatadine
108,108,Azathioprine
109,109,Azelaic acid
110,110,Azelastine
111,111,Azilsartan medoxomil
112,112,Azithromycin
113,113,Bacampicillin
114,114,Baclofen
115,115,Baloxavir marboxil
116,116,Balsalazide
117,117,Baricitinib
118,118,Bazedoxifene
119,119,Bedaquiline
120,120,Belumosudil
121,121,Belzutifan
122,122,Bemiparin
123,123,Bempedoic acid
124,124,Benazepril
125,125,Bendroflumethiazide
126,126,Benserazide
127,127,Benzatropine
128,128,Benzgalantamine
129,129,Benzhydrocodone
130,130,Benznidazole
131,131,Benzonatate
132,132,Benzphetamine
133,133,Bepotastine
134,134,Bepridil
135,135,Beraprost
136,136,Berotralstat
137,137,Betahistine
138,138,Betaine
139,139,Betaxolol
140,140,Bethanechol
141,141,Betrixaban
142,142,Bexagliflozin
143,143,Bexarotene
144,144,Bezafibrate
145,145,Bicalutamide
146,146,Bictegravir
147,147,Bilastine
148,148,Binimetinib
149,149,Biotin
150,150,Biperiden
151,151,Bisacodyl
152,152,Bismuth subcitrate potassium
153,153,Bisoprolol
154,154,Bivalirudin
155,155,Boceprevir
156,156,Bortezomib
157,157,Bosentan
158,158,Bosutinib
159,159,Brentuximab vedotin
160,160,Brexanolone
161,161,Brexpiprazole
162,162,Brigatinib
163,163,Brimonidine
164,164,Brincidofovir
165,165,Brivaracetam
166,166,Bromazepam
167,167,Bromocriptine
168,168,Bromotheophylline
169,169,Brompheniramine
170,170,Budesonide
171,171,Bumetanide
172,172,Buprenorphine
173,173,Bupropion
174,174,Buspirone
175,175,Busulfan
176,176,Butabarbital
177,177,Butalbital
178,178,Butorphanol
179,179,Cabazitaxel
180,180,Cabergoline
181,181,Cabotegravir
182,182,Cabozantinib
183,183,Calcifediol
184,184,Calcium acetate
185,185,Calcium carbonate
186,186,Calcium citrate
187,187,Calcium gluconate
188,188,Calcium polycarbophil
189,189,Camostat
190,190,Canagliflozin
191,191,Canakinumab
192,192,Candesartan cilexetil
193,193,Cangrelor
194,194,Cannabidiol
195,195,Capecitabine
196,196,Capivasertib
197,197,Capmatinib
198,198,Captopril
199,199,Carbamazepine
200,200,Carbenicillin
201,201,Carbinoxamine
202,202,Carbocisteine
203,203,Carboplatin
204,204,Carglumic acid
205,205,Cariprazine
206,206,Carisoprodol
207,207,Carmustine
208,208,Carvedilol
209,209,Cedazuridine
210,210,Cefaclor
211,211,Cefadroxil
212,212,Cefamandole
213,213,Cefdinir
214,214,Cefditoren
215,215,Cefixime
216,216,Cefoperazone
217,217,Cefotetan
218,218,Cefpodoxime
219,219,Cefprozil
220,220,Cefradine
221,221,Ceftibuten
222,222,Cefuroxime
223,223,Celecoxib
224,224,Celiprolol
225,225,Cenobamate
226,226,Centella asiatica
227,227,Cephalexin
228,228,Ceritinib
229,229,Cerivastatin
230,230,Certoparin
231,231,Cetirizine
232,232,Chloral hydrate
233,233,Chlorambucil
234,234,Chloramphenicol
235,235,Chlorcyclizine
236,236,Chlordiazepoxide
237,237,Chlorhexidine
238,238,Chloroquine
239,239,Chlorpheniramine
240,240,Chlorpromazine
241,241,Chlorpropamide
242,242,Chlorprothixene
243,243,Chlorthalidone
244,244,Chlorzoxazone
245,245,Cholestyramine
246,246,Cholic Acid
247,247,Choline C-11
248,248,Chromic chloride
249,249,Chromium
250,250,Chromium nicotinate
251,251,Chromium picolinate
252,252,Chymotrypsin
253,253,Cilazapril
254,254,Cilostazol
255,255,Cimetidine
256,256,Cinacalcet
257,257,Cinolazepam
258,258,Ciprofloxacin
259,259,Cisapride
260,260,Cisplatin
261,261,Citalopram
262,262,Cladribine
263,263,Clarithromycin
264,264,Clavulanic acid
265,265,Clemastine
266,266,Clidinium
267,267,Clindamycin
268,268,Clobazam
269,269,Clodronic acid
270,270,Clofarabine
271,271,Clofazimine
272,272,Clofedanol
273,273,Clofibrate
274,274,Clomifene
275,275,Clomipramine
276,276,Clonazepam
277,277,Clonidine
278,278,Clopidogrel
279,279,Clorazepic acid
280,280,Clorindione
281,281,Cloxacillin
282,282,Cloxazolam
283,283,Clozapine
284,284,Cobicistat
285,285,Cobimetinib
286,286,Cocarboxylase
287,287,Codeine
288,288,Coenzyme M
289,289,Colchicine
290,290,Colesevelam
291,291,Colestipol
292,292,Conjugated estrogens
293,293,Copanlisib
294,294,Copper oxodotreotide Cu-64
295,295,Cortisone acetate
296,296,Coumarin
297,297,Crizotinib
298,298,Crofelemer
299,299,Cromoglicic acid
300,300,Cyanocobalamin
301,301,Cyclandelate
302,302,Cyclizine
303,303,Cyclobenzaprine
304,304,Cyclophosphamide
305,305,Cycloserine
306,306,Cyclosporine
307,307,Cyproheptadine
308,308,Cyproterone acetate
309,309,Cysteamine
310,310,Dabigatran
311,311,Dabigatran etexilate
312,312,Dabrafenib
313,313,Dacarbazine
314,314,Daclatasvir
315,315,Dacomitinib
316,316,Dalfampridine
317,317,Dalteparin
318,318,Danaparoid
319,319,Danazol
320,320,Danicopan
321,321,Dantrolene
322,322,Dapagliflozin
323,323,Daprodustat
324,324,Dapsone
325,325,Darbepoetin alfa
326,326,Darexaban
327,327,Daridorexant
328,328,Darifenacin
329,329,Darolutamide
330,330,Darunavir
331,331,Dasabuvir
332,332,Dasatinib
333,333,Debrisoquine
334,334,Deferasirox
335,335,Deferiprone
336,336,Defibrotide
337,337,Deflazacort
338,338,Delafloxacin
339,339,Delamanid
340,340,Delavirdine
341,341,Demeclocycline
342,342,Denosumab
343,343,Desipramine
344,344,Desirudin
345,345,Desloratadine
346,346,Desmoteplase
347,347,Desvenlafaxine
348,348,Deucravacitinib
349,349,Deuruxolitinib
350,350,Deutetrabenazine
351,351,Dexamethasone
352,352,Dexbrompheniramine
353,353,Dexchlorpheniramine maleate
354,354,Dexfenfluramine
355,355,Dexlansoprazole
356,356,Dexmethylphenidate
357,357,Dextran
358,358,Dextroamphetamine
359,359,Dextromethorphan
360,360,Dextropropoxyphene
361,361,Dextrothyroxine
362,362,Diamorphine
363,363,Diazepam
364,364,Dichloralphenazone
365,365,Diclofenac
366,366,Diclofenamide
367,367,Dicloxacillin
368,368,Dicoumarol
369,369,Dicyclomine
370,370,Didanosine
