manual_food,source,compound,in_foodb_vocab,in_wrapper_for_this_food,in_manual_for_this_food
couscous,manual,ferulic acid,True,False,
couscous,manual,phytic acid,True,False,
zfiti / zviti,manual,allicin,True,False,
zfiti / zviti,manual,capsaicin,True,False,
zfiti / zviti,manual,phytic acid,True,False,
zfiti / zviti,manual,piperine,True,False,
chakhchoukha,manual,amylopectin,True,False,
chakhchoukha,manual,capsaicin,True,True,
chakhchoukha,manual,cinnamaldehyde,True,False,
chakhchoukha,manual,lycopene,True,True,
chakhchoukha,manual,potassium,True,False,
chakhchoukha,manual,purines,False,False,
chakhchoukha,wrapper_b,allicin,True,,False
chakhchoukha,wrapper_b,beta carotene,True,,False
chakhchoukha,wrapper_b,capsaicin,True,,True
chakhchoukha,wrapper_b,cuminaldehyde,True,,False
chakhchoukha,wrapper_b,diallyl disulfide,False,,False
chakhchoukha,wrapper_b,diallyl sulfide,False,,False
chakhchoukha,wrapper_b,hydroxytyrosol,True,,False
chakhchoukha,wrapper_b,iron,True,,False
chakhchoukha,wrapper_b,lutein,True,,False
chakhchoukha,wrapper_b,lycopene,True,,True
chakhchoukha,wrapper_b,oleuropein,True,,False
chakhchoukha,wrapper_b,quercetin,True,,False
chakhchoukha,wrapper_b,s allylcysteine,True,,False
chakhchoukha,wrapper_b,thymol,False,,False
chakhchoukha,wrapper_b,zinc,True,,False
guedid / kadid,manual,ages,False,False,
guedid / kadid,manual,allicin,True,False,
guedid / kadid,manual,na,False,False,
guedid / kadid,manual,tyramine,False,False,
osban / osbane,manual,allicin,True,False,
osban / osbane,manual,apigenin,True,False,
osban / osbane,manual,piperine,True,False,
osban / osbane,manual,purines,False,False,
osban / osbane,manual,quercetin,True,False,
osban / osbane,manual,triglycerides,False,False,
lahm lhalou,manual,amygdalin,True,False,
lahm lhalou,manual,butyric acid,False,False,
lahm lhalou,manual,cinnamaldehyde,True,False,
lahm lhalou,manual,coumarin,True,False,
lahm lhalou,manual,sucrose glucose,False,False,
chorba frik / jari,manual,magnesium,False,False,
chorba frik / jari,manual,menthol,True,False,
chorba frik / jari,manual,phytic acid,True,False,
chorba frik / jari,manual,rosmarinicacid,False,False,
chorba frik / jari,manual,smoked roasted pahs,False,False,
chorba frik / jari,manual,soluble fiber,False,False,
atay,manual,caffeine,True,False,
atay,manual,saponins,True,False,
atay,manual,sucrose glucose,False,False,
atay,manual,tannins,False,False,
chakchouka,manual,allicin,True,False,
chakchouka,manual,capsaicin,True,False,
chakchouka,manual,choline,True,False,
chakchouka,manual,lycopene,True,False,
chakchouka,manual,quercetin,True,False,
tajine zeitoun,manual,allicin,True,False,
tajine zeitoun,manual,cinnamaldehyde,True,False,
tajine zeitoun,manual,curcumin,True,False,
tajine zeitoun,manual,oleuropein,True,False,
rechta,manual,amylopectin,True,False,
rechta,manual,cinnamaldehyde,True,False,
rechta,manual,curcumin,True,False,
rechta,manual,glucobrassicin,True,False,
rechta,manual,quercetin,True,False,
dolma,manual,allicin,True,False,
dolma,manual,amylose,True,False,
dolma,manual,apigenin,True,False,
dolma,manual,cucurbitacin,False,False,
dolma,manual,solanine,True,False,
dolma,manual,vitamin k,False,False,
trida (w: white sauce,manual,butyric acid,False,False,
trida (w: white sauce,manual,choline,True,False,
trida (w: white sauce,manual,quercetin,True,False,
trida (w: white sauce,manual,w amylopectin,False,False,
mesfouf,manual,amylopectin,True,False,
mesfouf,manual,butyric acid,False,False,
mesfouf,manual,resveratrol,True,False,
mesfouf,manual,sucrose fructose,False,False,
tilitili / tlitli,manual,amylopectin,True,False,
tilitili / tlitli,manual,choline,True,False,
tilitili / tlitli,manual,cinnamaldehyde,True,False,
tilitili / tlitli,manual,piperine,True,False,
berkoukes,manual,amylose amylopectin,False,False,
berkoukes,manual,capsaicin,True,False,
berkoukes,manual,curcumin,True,False,
berkoukes,manual,lycopene,True,False,
mthawem / methoum,manual,allicin,True,False,
mthawem / methoum,manual,cinnamaldehyde,True,False,
mthawem / methoum,manual,purines,False,False,
mthawem / methoum,manual,saturated lipids,False,False,
bouzlouf/chtitha,manual,capsaicin,True,False,
bouzlouf/chtitha,manual,cuminaldehyde,True,False,
bouzlouf/chtitha,manual,purines,False,False,
bouzlouf/chtitha,manual,s allicin,False,False,
doubara (biskria),manual,allicin,True,False,
doubara (biskria),manual,capsaicin,True,False,
doubara (biskria),manual,cuminaldehyde,True,False,
doubara (biskria),manual,phytic acid,True,False,
doubara (biskria),manual,purines,False,False,
garantita/karentica,manual,capsaicin,True,False,
garantita/karentica,manual,cuminaldehyde,True,False,
garantita/karentica,manual,non heme fe,False,False,
garantita/karentica,manual,phytic acid,True,False,
garantita/karentica,manual,plant protein,False,False,
garantita/karentica,manual,purines,False,False,
merguez,manual,capsaicin,True,False,
merguez,manual,cuminaldehyde,True,False,
merguez,manual,heme iron,False,False,
merguez,manual,sat fats,False,False,
mederbel,manual,acetic acid,False,False,
mederbel,manual,allicin,True,False,
mederbel,manual,lipidsponge,False,False,
mederbel,manual,nasunin,True,False,
mederbel,manual,purines,False,False,
harira,manual,beta glucan,True,False,
harira,manual,carvone,True,False,
harira,manual,purines,False,False,
adas,manual,allicin,True,False,
adas,manual,cuminaldehyde,True,False,
adas,manual,non heme iron,False,False,
adas,manual,phytic acid,True,False,
adas,manual,potassium,True,False,
chorba bidha,manual,cinnamaldehyde,True,False,
chorba bidha,manual,citric acid,False,False,
chorba bidha,manual,phytic acid,True,False,
chorba bidha,manual,purines,False,False,
bourak jazairi,manual,acrylamide,True,False,
bourak jazairi,manual,amylopectin,True,False,
bourak jazairi,manual,calcium,True,False,
bourak jazairi,manual,iodine,True,False,
bourak jazairi,manual,large neutral amino acids,False,False,
bourak jazairi,manual,omega3,False,False,
bourak jazairi,manual,purines,False,False,
bourak jazairi,manual,saturated fats,False,False,
zlabia,manual,limonene,True,False,
baklawa,manual,amygdalin,True,False,
baklawa,manual,gelatinisedstarch,False,False,
baklawa,manual,honey,False,False,
baklawa,manual,laminatedgluten,False,False,
baklawa,manual,larginine,False,False,
baklawa,manual,omega3,False,False,
baklawa,manual,saturated fats,False,False,
makroud el-koucha,manual,amylopectin,True,False,
makroud el-koucha,manual,butyric acid scfas,False,False,
makroud el-koucha,manual,linalool,True,False,
tcharak (a=aryan/b=meskar),manual,albumin,True,False,
tcharak (a=aryan/b=meskar),manual,larginine,False,False,
tcharak (a=aryan/b=meskar),manual,limonene,True,False,
tcharak (a=aryan/b=meskar),manual,linalool,True,False,
tcharak (a=aryan/b=meskar),manual,mg2,False,False,
tcharak (a=aryan/b=meskar),manual,protein,False,False,
tcharak (a=aryan/b=meskar),manual,shortcrust friablematrix,False,False,
tamina,manual,butter emulsion,False,False,
tamina,manual,pyrodextrins,False,False,
